Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Nguyễn Hồng Đào,Phường 14,Quận Tân Bình,1,52.5,2,4,4,,Nhà phố liền kề,3050000000,"3,05 tỷ",58.095238
Đường Minh Phụng,Phường 9,Quận 6,1,24,2,2,2,,"Nhà ngõ, hẻm",2700000000,"2,7 tỷ",112.5
Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,1,120,5,5,5,Hướng Nam,"Nhà mặt phố, mặt tiền",23500000000,"23,5 tỷ",195.83333
,Phường Thạnh Xuân,Quận 12,1,45,2,2,2,,"Nhà ngõ, hẻm",1150000000,"1,15 tỷ",25.555555
Đường Lê Văn Huân,Phường 13,Quận Tân Bình,1,240,7,8,,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",85000000000,85 tỷ,354.16666
Đường Thới An 15,Phường Thới An,Quận 12,1,67,,4,5,Hướng Nam,"Nhà ngõ, hẻm",4990000000,"4,99 tỷ",74.477615
Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,1,250,3,4,4,,Nhà biệt thự,39186000000,"39,186 tỷ",156.744
Hẻm 363/11 Bình Trị Đông,Phường Bình Trị Đông A,Quận Bình Tân,1,40,,4,,,"Nhà ngõ, hẻm",4000000000,4 tỷ,100
Phan Anh,Phường Bình Trị Đông,Quận Bình Tân,1,43,3,3,3,,"Nhà ngõ, hẻm",4350000000,"4,35 tỷ",101.16279
Đường Thạnh Xuân 25,Phường Thạnh Xuân,Quận 12,1,38,1,2,2,,"Nhà ngõ, hẻm",1080000000,"1,08 tỷ",28.421053
Đường Số 33,Phường Bình Trưng Tây (Quận 2 cũ),Thành phố Thủ Đức,1,59,4,4,5,,"Nhà mặt phố, mặt tiền",8000000000,8 tỷ,135.59322
Đường Nguyễn Văn Bứa,Xã Xuân Thới Thượng,Huyện Hóc Môn,1,98,,5,5,,"Nhà ngõ, hẻm",1235000000,"1,235 tỷ",12.602041
Đường Nam Kỳ Khởi Nghĩa,Phường Võ Thị Sáu,Quận 3,1,80,2,3,,,Nhà phố liền kề,14250000000,"14,25 tỷ",178.125
Đường Huỳnh Văn Bánh,Phường 10,Quận Phú Nhuận,1,65,4,4,,,"Nhà ngõ, hẻm",8200000000,"8,2 tỷ",126.15385
Đường Nguyễn Văn Nghi,Phường 7,Quận Gò Vấp,1,21,2,2,2,,"Nhà ngõ, hẻm",2390000000,"2,39 tỷ",113.809525
Đường Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,1,60,3,4,4,,Nhà phố liền kề,6000000000,6 tỷ,100
Đường Bùi Đình Tuý,Phường 24,Quận Bình Thạnh,1,30,,4,3,,"Nhà ngõ, hẻm",2400000000,"2,4 tỷ",80
Đường Lê Văn Sỹ,Phường 12,Quận 3,1,48.7999,11,3,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",133.19699
Đường Khuông Việt,Phường Phú Trung,Quận Tân Phú,1,62,,2,2,,"Nhà ngõ, hẻm",5700000000,"5,7 tỷ",91.935486
Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,1,75,,4,5,,"Nhà ngõ, hẻm",5950000000,"5,95 tỷ",79.333336
Đường Tân Mỹ,Phường Tân Phú,Quận 7,1,84.0999,4,11,7,Hướng Đông Nam,"Nhà ngõ, hẻm",15000000000,15 tỷ,178.35931
Đường Lê Đức Thọ,Phường 6,Quận Gò Vấp,1,44,3,5,6,,"Nhà ngõ, hẻm",5850000000,"5,85 tỷ",132.95454
Hẻm 118/48 Liên khu 5-6,Phường Bình Hưng Hoà B,Quận Bình Tân,1,58,,3,,,"Nhà ngõ, hẻm",4200000000,"4,2 tỷ",72.413795
Đường Nguyễn Ảnh Thủ,Phường Hiệp Thành,Quận 12,1,50,2,2,1,Hướng Tây,"Nhà ngõ, hẻm",3200000000,"3,2 tỷ",64
Đường Lý Chính Thắng,Phường Võ Thị Sáu,Quận 3,1,60,4,6,6,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",35000000000,35 tỷ,583.3333
Đường số 8,Phường Bình Hưng Hoà A,Quận Bình Tân,1,41.4,,3,3,Hướng Đông,"Nhà mặt phố, mặt tiền",4580000000,"4,58 tỷ",110.62802
Đường Lê Văn Việt,Phường Hiệp Phú (Quận 9 cũ),Thành phố Thủ Đức,1,93,2,2,2,,"Nhà mặt phố, mặt tiền",22500000000,"22,5 tỷ",241.93549
Đường Hoàng Hoa Thám,Phường 7,Quận Bình Thạnh,1,62,,4,,,Nhà phố liền kề,5400000000,"5,4 tỷ",87.09677
Đường Nguyễn Văn Đậu,Phường 6,Quận Bình Thạnh,1,15,3,3,4,,"Nhà ngõ, hẻm",1530000000,"1,53 tỷ",102
Đường Nguyễn Văn Đậu,Phường 11,Quận Bình Thạnh,1,44,2,2,2,,"Nhà ngõ, hẻm",5990000000,"5,99 tỷ",136.13637
Đường Âu Cơ,Phường Tân Thành,Quận Tân Phú,1,52,2,2,2,,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",144.23077
Hẻm 2/15 Tăng Bạt Hổ,Phường 11,Quận Bình Thạnh,1,46,2,2,2,,"Nhà ngõ, hẻm",5250000000,"5,25 tỷ",114.13043
Đường Phan Tây Hồ,Phường 7,Quận Phú Nhuận,1,39,4,3,4,Hướng Đông Nam,Nhà biệt thự,8500000000,"8,5 tỷ",217.94872
Đường Lô Tư,Phường Bình Hưng Hoà A,Quận Bình Tân,1,48,2,2,2,,"Nhà ngõ, hẻm",4280000000,"4,28 tỷ",89.166664
Đường Nguyễn Giàn Thanh,Phường 15,Quận 10,1,60,4,4,,,"Nhà mặt phố, mặt tiền",12500000000,"12,5 tỷ",208.33333
Đường Lương Định Của,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức,1,100,4,3,4,,"Nhà mặt phố, mặt tiền",19000000000,19 tỷ,190
Bình Thới,Phường 14,Quận 11,1,100,,3,,,"Nhà ngõ, hẻm",8990000000,"8,99 tỷ",89.9
Lý Thường Kiệt,Phường 8,Quận Tân Bình,,50,,4,,,"Nhà ngõ, hẻm",4700000000,"4,7 tỷ",94
Đường Lê Thị Riêng,Phường Thới An,Quận 12,1,140,4,5,5,Hướng Bắc,Nhà biệt thự,11999999900,"11,999 tỷ",85.71429
Đường Nguyễn Du,Phường 7,Quận Gò Vấp,1,55.95,1,3,3,,"Nhà ngõ, hẻm",6300000000,"6,3 tỷ",112.60053
Đường Dương Thị Mười,Phường Tân Chánh Hiệp,Quận 12,1,10,,2,,,"Nhà ngõ, hẻm",580000000,580 triệu,58
hoang sỹ khai,Phường 15,Quận 8,1,35,2,2,2,,"Nhà ngõ, hẻm",2950000000,"2,95 tỷ",84.28571
Đường Tam Đa,Phường Long Trường (Quận 9 cũ),Thành phố Thủ Đức,1,65,2,3,2,,"Nhà ngõ, hẻm",3150000000,"3,15 tỷ",48.46154
Hẻm 185 Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,1,48,,4,4,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",137.5
Đường Ba Đình,Phường 8,Quận 8,1,20,2,1,2,,"Nhà ngõ, hẻm",2180000000,"2,18 tỷ",109
Đường Lê Thị Riêng,Phường Thới An,Quận 12,1,140,,4,5,Hướng Bắc,Nhà biệt thự,11990000000,"11,99 tỷ",85.64286
Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,1,90,4,4,6,Hướng Đông Nam,Nhà biệt thự,6600000000,"6,6 tỷ",73.333336
Đường Nguyễn Sáng,Phường Tây Thạnh,Quận Tân Phú,1,30,2,2,2,,"Nhà ngõ, hẻm",3550000000,"3,55 tỷ",118.333336
Đường 18B,Phường Bình Hưng Hoà A,Quận Bình Tân,1,40,2,2,2,Hướng Bắc,"Nhà ngõ, hẻm",2999999999,"2,999 tỷ",75
Đường Tô Ký,Phường Tân Chánh Hiệp,Quận 12,1,137,3,6,,,"Nhà mặt phố, mặt tiền",7380000000,"7,38 tỷ",53.868614
Đường Huỳnh Khương An,Phường 5,Quận Gò Vấp,1,73,1,2,1,Hướng Đông Bắc,"Nhà ngõ, hẻm",6860000000,"6,86 tỷ",93.9726
Thới An 05,Phường Thới An,Quận 12,1,80,,5,,,"Nhà ngõ, hẻm",7790000000,"7,79 tỷ",97.375
Đường Nguyễn Ảnh Thủ,Phường Hiệp Thành,Quận 12,1,19,,2,,,"Nhà ngõ, hẻm",779000000,779 triệu,41
Đường Nguyễn Ảnh Thủ,Phường Hiệp Thành,Quận 12,2,60,1,2,2,,"Nhà mặt phố, mặt tiền",1830000000,"1,83 tỷ",30.5
ĐT2-3-1,Xã Đông Thạnh,Huyện Hóc Môn,5,32,1,2,1,,"Nhà ngõ, hẻm",900000000,900 triệu,28.125
Đường Nguyễn Phúc Nguyên,Phường 9,Quận 3,1,83,,4,,,"Nhà mặt phố, mặt tiền",19000000000,19 tỷ,228.91566
Hiệp Thành 07,Phường Hiệp Thành,Quận 12,5,41,2,1,1,,"Nhà ngõ, hẻm",1550000000,"1,55 tỷ",37.80488
