Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Phan Tây Hồ,Phường 7,Quận Phú Nhuận,1,40,,4,4,,"Nhà ngõ, hẻm",6200000000,"6,2 tỷ",155
Nguyễn Văn Công,Phường 3,Quận Gò Vấp,1,50.2,4,7,7,Hướng Đông Bắc,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",131.4741
Đường Lê Văn Việt,Phường Tăng Nhơn Phú B (Quận 9 cũ),Thành phố Thủ Đức,1,115.6999,5,11,7,Hướng Tây Nam,"Nhà ngõ, hẻm",10000000000,10 tỷ,86.4305
Đường Huỳnh Tấn Phát,Phường Tân Phú,Quận 7,1,115,1,2,,,"Nhà mặt phố, mặt tiền",18000000000,18 tỷ,156.52174
Đường Bàn Cờ,Phường 3,Quận 3,1,130,,4,4,,"Nhà ngõ, hẻm",25000000000,25 tỷ,192.3077
Đường Phạm Hùng,Xã Bình Hưng,Huyện Bình Chánh,6,36,1,2,2,Hướng Tây Bắc,"Nhà ngõ, hẻm",2680000000,"2,68 tỷ",74.44444
Đường Lý Phục Man,Phường Bình Thuận,Quận 7,1,60,2,2,2,,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",125
Đường Lê Văn Thọ,Phường 11,Quận Gò Vấp,1,37,2,2,2,,"Nhà ngõ, hẻm",4590000000,"4,59 tỷ",124.054054
Đường Trần Văn Mười,Xã Xuân Thới Thượng,Huyện Hóc Môn,1,32,,2,2,,"Nhà ngõ, hẻm",1450000000,"1,45 tỷ",45.3125
Đường Số 2,Phường Tân Quy,Quận 7,1,68,5,4,5,,"Nhà mặt phố, mặt tiền",11700000000,"11,7 tỷ",172.05882
Đường Nguyễn Thị Kiểu,Phường Hiệp Thành,Quận 12,1,122,2,4,,,"Nhà mặt phố, mặt tiền",14000000000,14 tỷ,114.7541
Đường Lê Đức Thọ,Phường 6,Quận Gò Vấp,1,80,,6,,,"Nhà mặt phố, mặt tiền",18000000000,18 tỷ,225
Đường Long Phước,Phường Long Phước (Quận 9 cũ),Thành phố Thủ Đức,1,89,,2,1,,"Nhà ngõ, hẻm",4750000000,"4,75 tỷ",53.370785
khu dân cư vĩnh lộc,Phường Bình Hưng Hoà B,Quận Bình Tân,1,60,3,3,3,,"Nhà mặt phố, mặt tiền",5600000000,"5,6 tỷ",93.333336
Đường Trung Đông 11,Xã Thới Tam Thôn,Huyện Hóc Môn,1,210,,4,3,,"Nhà mặt phố, mặt tiền",10520000000,"10,52 tỷ",50.095238
Nguyễn thị kiểu,Phường Tân Chánh Hiệp,Quận 12,1,160,1,3,,,"Nhà mặt phố, mặt tiền",14500000000,"14,5 tỷ",90.625
Đường Huỳnh Tấn Phát,Phường Tân Thuận Đông,Quận 7,1,57,,3,3,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",115.789474
Đường Trung Mỹ Tây 2A,Phường Trung Mỹ Tây,Quận 12,1,100,3,3,4,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",56
Đường Thăng Long,Phường 4,Quận Tân Bình,1,233,3,5,2,,"Nhà ngõ, hẻm",32790000000,"32,79 tỷ",140.72961
Đường Cộng Hòa 3,Phường Tân Thành,Quận Tân Phú,1,97,5,8,,,"Nhà mặt phố, mặt tiền",13200000000,"13,2 tỷ",136.08247
Đường Tân Thới Nhất 1,Phường Tân Thới Nhất,Quận 12,1,85,,7,7,,"Nhà ngõ, hẻm",5300000000,"5,3 tỷ",62.35294
Đường Tân Kỳ Tân Quý,Phường Bình Hưng Hòa,Quận Bình Tân,1,66,4,5,,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",103.030304
Đường Thống Nhất,Phường 11,Quận Gò Vấp,1,60,6,6,6,,Nhà phố liền kề,15900000000,"15,9 tỷ",265
Hẻm 502 Huỳnh Tấn Phát,Phường Bình Thuận,Quận 7,1,64,2,3,2,Hướng Đông,"Nhà ngõ, hẻm",6100000000,"6,1 tỷ",95.3125
Liên Khu 10-11,Phường Bình Trị Đông,Quận Bình Tân,1,72,,2,2,,"Nhà ngõ, hẻm",5300000000,"5,3 tỷ",73.611115
Đường Liên khu 5-6,Phường Bình Hưng Hoà B,Quận Bình Tân,1,48,2,3,2,,"Nhà ngõ, hẻm",3200000000,"3,2 tỷ",66.666664
Đường Thành Thái,Phường 14,Quận 10,1,36,,3,,,"Nhà ngõ, hẻm",8500000000,"8,5 tỷ",236.11111
Đường Nguyễn Thị Thập,Phường Bình Thuận,Quận 7,1,182,3,5,5,,Nhà biệt thự,35000000000,35 tỷ,192.3077
Đường Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,1,76,2,2,2,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",72.36842
Đường Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,1,68,,4,,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",80.882355
Đường Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,1,68,,4,,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",80.882355
Đường Thạnh Lộc 15,Phường Thạnh Lộc,Quận 12,1,30,,2,1,,"Nhà ngõ, hẻm",2300000000,"2,3 tỷ",76.666664
Đường Cộng Hòa,Phường 13,Quận Tân Bình,1,50,4,5,4,,"Nhà ngõ, hẻm",9680000000,"9,68 tỷ",193.6
Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7,1,450,8,11,7,,"Nhà mặt phố, mặt tiền",145000000000,145 tỷ,322.22223
Đường 22,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,1,51.2,,2,2,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",109.375
Đường số 30,Phường Bình Trị Đông B,Quận Bình Tân,1,96,4,4,4,,"Nhà mặt phố, mặt tiền",11800000000,"11,8 tỷ",122.916664
Đường Dương Thị Mười,Phường Tân Thới Hiệp,Quận 12,1,30,,2,2,,"Nhà mặt phố, mặt tiền",1550000000,"1,55 tỷ",51.666668
Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,1,66,,11,7,,"Nhà ngõ, hẻm",13900000000,"13,9 tỷ",210.60606
Đường Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,1,19,2,2,1,Hướng Tây,"Nhà ngõ, hẻm",2050000000,"2,05 tỷ",107.89474
Đường Hồng Lạc,Phường 10,Quận Tân Bình,1,40,2,2,2,,"Nhà mặt phố, mặt tiền",6900000000,"6,9 tỷ",172.5
Đường số 22,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,93.5999,,3,,,"Nhà mặt phố, mặt tiền",16500000000,"16,5 tỷ",176.28224
Hẻm 737 Lạc Long Quân,Phường 10,Quận Tân Bình,1,35,2,2,2,Hướng Đông Nam,"Nhà ngõ, hẻm",3500000000,"3,5 tỷ",100
Dương THị Mười,Phường Tân Thới Hiệp,Quận 12,5,16.7,,2,,,Nhà phố liền kề,635000000,635 triệu,38.023952
Đường Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,1,40,4,4,3,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",95
Đường số 40,Phường Tân Phong,Quận 7,1,90,4,4,5,Hướng Bắc,"Nhà mặt phố, mặt tiền",17800000000,"17,8 tỷ",197.77777
Đường Nguyễn Thị Kiểu,Phường Tân Thới Hiệp,Quận 12,5,15.3999,1,1,1,Hướng Bắc,"Nhà ngõ, hẻm",590000000,590 triệu,38.311935
Đường Nguyễn Lương Bằng,Phường Phú Mỹ,Quận 7,1,90,4,4,,Hướng Bắc,"Nhà mặt phố, mặt tiền",16000000000,16 tỷ,177.77777
Đường 18B,Phường Bình Hưng Hoà A,Quận Bình Tân,1,50,5,4,5,Hướng Nam,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",130
Đường Nguyễn Thị Sóc,Xã Xuân Thới Đông,Huyện Hóc Môn,1,94,1,2,1,,"Nhà mặt phố, mặt tiền",1000000000,1 tỷ,10.638298
Đường Âu Cơ,Phường 10,Quận Tân Bình,1,30,3,4,3,,"Nhà ngõ, hẻm",3500000000,"3,5 tỷ",116.666664
Đường Âu Cơ,Phường 10,Quận Tân Bình,1,30,3,4,3,,"Nhà ngõ, hẻm",3500000000,"3,5 tỷ",116.666664
Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Quận Bình Tân,1,56,3,4,3,,"Nhà ngõ, hẻm",4900000000,"4,9 tỷ",87.5
Phú Định,Phường 16,Quận 8,6,24,4,4,3,,"Nhà ngõ, hẻm",2000000000,2 tỷ,83.333336
Đường Hoàng Quốc Việt,Phường Phú Mỹ,Quận 7,1,126,4,6,6,,Nhà biệt thự,19500000000,"19,5 tỷ",154.7619
Đường Lê Văn Sỹ,Phường 3,Quận 3,1,130,,4,4,,"Nhà ngõ, hẻm",25000000000,25 tỷ,192.3077
Đường Trần Thị Cờ,Phường Thới An,Quận 12,1,80,2,3,2,,"Nhà mặt phố, mặt tiền",4650000000,"4,65 tỷ",58.125
Đường Trần Quang Khải,Phường Tân Định,Quận 1,1,66,6,6,6,,"Nhà mặt phố, mặt tiền",22000000000,22 tỷ,333.33334
Hẻm 6 Nguyễn Nhữ Lãm,Phường Phú Thọ Hòa,Quận Tân Phú,1,54.5,4,4,3,,"Nhà ngõ, hẻm",7350000000,"7,35 tỷ",134.86238
Đường Lê Văn Thọ,Phường 16,Quận Gò Vấp,1,44,3,3,3,,"Nhà ngõ, hẻm",4700000000,"4,7 tỷ",106.818184
Đường 52,Phường Bình Trị Đông B,Quận Bình Tân,1,100,,1,1,,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",75
Đường Bùi Quang Là,Phường 12,Quận Gò Vấp,1,64,,2,2,,"Nhà ngõ, hẻm",5800000000,"5,8 tỷ",90.625
Đường Vĩnh Hội,Phường 4,Quận 4,1,100,8,6,,,"Nhà mặt phố, mặt tiền",29500000000,"29,5 tỷ",295
Đường Lâm Thị Hố,Phường Tân Chánh Hiệp,Quận 12,1,60,4,5,3,Hướng Tây Nam,"Nhà ngõ, hẻm",5200000000,"5,2 tỷ",86.666664
Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,1,37.7999,4,4,,,"Nhà ngõ, hẻm",8900000000,"8,9 tỷ",235.45036
Đường Lê Hồng Phong,Phường 1,Quận 10,1,15,4,3,4,,"Nhà ngõ, hẻm",2000000000,2 tỷ,133.33333
Đường Số 1,Phường 10,Quận Tân Bình,1,40,5,3,4,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",170
Đường Quốc lộ 22,Phường Trung Mỹ Tây,Quận 12,1,114,3,4,4,Hướng Tây Nam,"Nhà mặt phố, mặt tiền",6790000000,"6,79 tỷ",59.561405
Đường Nguyễn Ảnh Thủ,Phường Trung Mỹ Tây,Quận 12,1,64,2,4,3,,"Nhà ngõ, hẻm",4650000000,"4,65 tỷ",72.65625
Đường Tô Hiến Thành,Phường 12,Quận 10,1,60,4,4,4,Hướng Tây Nam,"Nhà ngõ, hẻm",8490000000,"8,49 tỷ",141.5
Đường An Phú Đông 12,Phường An Phú Đông,Quận 12,1,52,4,5,5,,"Nhà ngõ, hẻm",5900000000,"5,9 tỷ",113.46154
Đường An Phú Đông 12,Phường An Phú Đông,Quận 12,1,52,4,5,5,,"Nhà ngõ, hẻm",5900000000,"5,9 tỷ",113.46154
Tx25,Phường Thạnh Xuân,Quận 12,1,56,2,4,4,Hướng Đông,"Nhà ngõ, hẻm",3900000000,"3,9 tỷ",69.64286
số 39,Phường Tân Quy,Quận 7,1,141,5,11,7,Hướng Bắc,"Nhà mặt phố, mặt tiền",26000000000,26 tỷ,184.39716
Đường Đặng Thùy Trâm,Phường 13,Quận Bình Thạnh,1,10,1,2,2,,"Nhà ngõ, hẻm",1620000000,"1,62 tỷ",162
Đường Nguyễn Duy,Phường 9,Quận 8,1,10,1,2,2,,"Nhà ngõ, hẻm",1880000000,"1,88 tỷ",188
Đường Tây Thạnh,Phường Sơn Kỳ,Quận Tân Phú,1,10,1,2,2,,"Nhà ngõ, hẻm",1980000000,"1,98 tỷ",198
Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7,1,64,5,6,6,Hướng Đông,"Nhà mặt phố, mặt tiền",17000000000,17 tỷ,265.625
Đường Huỳnh Tấn Phát,Phường Tân Thuận Đông,Quận 7,1,60,2,3,2,,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",64.166664
Đường Suối Lội,Xã Tân Thông Hội,Huyện Củ Chi,1,617,,2,2,,"Nhà mặt phố, mặt tiền",12500000000,"12,5 tỷ",20.25932
Đường Quang Trung,Phường 8,Quận Gò Vấp,1,40,,2,2,,"Nhà ngõ, hẻm",3250000000,"3,25 tỷ",81.25
Đường Nguyễn Duy Trinh,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,1,100,2,3,2,Hướng Nam,"Nhà mặt phố, mặt tiền",8800000000,"8,8 tỷ",88
Đường số 53,Phường 14,Quận Gò Vấp,1,115,4,5,4,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",13900000000,"13,9 tỷ",120.86957
Đường Lam Sơn,Phường 2,Quận Tân Bình,1,122,4,8,,,"Nhà ngõ, hẻm",18500000000,"18,5 tỷ",151.63934
Đường Thạch Lam,Phường Phú Thạnh,Quận Tân Phú,1,92,2,2,2,,"Nhà mặt phố, mặt tiền",12800000000,"12,8 tỷ",139.13043
Đường Lê Văn Việt,Phường Hiệp Phú (Quận 9 cũ),Thành phố Thủ Đức,1,100,2,3,2,Hướng Tây Bắc,"Nhà mặt phố, mặt tiền",22500000000,"22,5 tỷ",225
Đường Nguyễn Văn Công,Phường 3,Quận Gò Vấp,1,45,4,3,,,"Nhà ngõ, hẻm",6496000000,"6,496 tỷ",144.35556
Đường Đỗ Thừa Luông,Phường Tân Quý,Quận Tân Phú,1,50,4,6,5,,"Nhà ngõ, hẻm",6350000000,"6,35 tỷ",127
Đường Số,Phường Tân Quy,Quận 7,1,60,,2,,,"Nhà mặt phố, mặt tiền",8300000000,"8,3 tỷ",138.33333
Chu Văn An,Phường 12,Quận Bình Thạnh,1,40,,4,4,,"Nhà ngõ, hẻm",2940000000,"2,94 tỷ",73.5
Đường số 12,Phường Bình Hưng Hoà A,Quận Bình Tân,1,41,2,2,,,"Nhà mặt phố, mặt tiền",4300000000,"4,3 tỷ",104.87805
Đường Lê Văn Thọ,Phường 9,Quận Gò Vấp,1,60,2,3,,,"Nhà ngõ, hẻm",6700000000,"6,7 tỷ",111.666664
Đường Ðiện Biên Phủ,Phường 10,Quận 10,1,60,,5,4,,"Nhà ngõ, hẻm",8700000000,"8,7 tỷ",145
Đường Hoa Giấy,Phường 7,Quận Phú Nhuận,1,48,,3,4,,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",93.75
Đường D3,Phường Tăng Nhơn Phú A (Quận 9 cũ),Thành phố Thủ Đức,1,105,,2,,,"Nhà mặt phố, mặt tiền",9100000000,"9,1 tỷ",86.666664
Đường 30 Tháng 4,Phường Tân Thành,Quận Tân Phú,1,64,,1,,,"Nhà ngõ, hẻm",4950000000,"4,95 tỷ",77.34375
Nguyễn Thần Hiến,Phường 18,Quận 4,1,40,,4,,,"Nhà ngõ, hẻm",2800000000,"2,8 tỷ",70
Đường số 1,Phường Bình Hưng Hoà A,Quận Bình Tân,1,65,3,4,3,Hướng Đông Bắc,"Nhà ngõ, hẻm",5850000000,"5,85 tỷ",90
Bùi Văn Ba,Phường Phú Thuận,Quận 7,1,133.1999,4,4,5,Hướng Đông Nam,Nhà biệt thự,18000000000,18 tỷ,135.13524
Đường Thích Quảng Đức,Phường 5,Quận Phú Nhuận,1,68,3,3,2,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",95.588234
Hoàng Hoa Thám,Phường 5,Quận Bình Thạnh,1,25.6,3,2,3,,"Nhà ngõ, hẻm",3650000000,"3,65 tỷ",142.57812
Đường Gò Dầu,Phường Tân Quý,Quận Tân Phú,1,66,,3,,,"Nhà ngõ, hẻm",6250000000,"6,25 tỷ",94.69697
Đường Hoa Lan,Phường 2,Quận Phú Nhuận,1,64,3,5,4,,"Nhà mặt phố, mặt tiền",21000000000,21 tỷ,328.125
Đường Lê Văn Lương,Xã Nhơn Đức,Huyện Nhà Bè,5,21,2,1,1,Hướng Tây,"Nhà ngõ, hẻm",520000000,520 triệu,24.761906
Đường Thới An 6,Phường Thới An,Quận 12,1,57,3,4,4,,"Nhà mặt phố, mặt tiền",6500000000,"6,5 tỷ",114.03509
Đường Bùi Đình Tuý,Phường 24,Quận Bình Thạnh,1,60,4,3,3,,"Nhà ngõ, hẻm",9900000000,"9,9 tỷ",165
Đường Mã Lò,Phường Bình Trị Đông A,Quận Bình Tân,1,60,2,2,2,,"Nhà ngõ, hẻm",4450000000,"4,45 tỷ",74.166664
Đường Bàn Cờ,Phường 3,Quận 3,1,75,,5,,,"Nhà ngõ, hẻm",19000000000,19 tỷ,253.33333
Đường Quang Trung,Phường 10,Quận Gò Vấp,1,79.4,,4,,,"Nhà ngõ, hẻm",11800000000,"11,8 tỷ",148.61461
Đường Cao Văn Ngọc,Phường Phú Trung,Quận Tân Phú,1,50,2,2,2,,"Nhà mặt phố, mặt tiền",8000000000,8 tỷ,160
Đường số 36,Phường Linh Đông (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,43,2,3,2,,"Nhà ngõ, hẻm",4300000000,"4,3 tỷ",100
Đường Trường Sa,Phường 4,Quận 3,1,54.5,3,4,4,,"Nhà ngõ, hẻm",4750000000,"4,75 tỷ",87.15596
Đường Trần Thị Do,Phường Hiệp Thành,Quận 12,1,56,4,5,4,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",6280000000,"6,28 tỷ",112.14286
Đường số 8,Phường Linh Xuân (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,120,2,8,7,,"Nhà ngõ, hẻm",4500000000,"4,5 tỷ",37.5
Hẻm 78/5 Đường số 51,Phường 14,Quận Gò Vấp,1,18,4,2,3,,"Nhà ngõ, hẻm",3400000000,"3,4 tỷ",188.88889
Đường Nguyễn Thị Thập,Phường Tân Phong,Quận 7,5,10.5,,2,,,"Nhà ngõ, hẻm",750000000,750 triệu,71.42857
Đường Xuân Thới Thượng 1,Xã Xuân Thới Thượng,Huyện Hóc Môn,5,107,,3,1,Hướng Đông Bắc,"Nhà ngõ, hẻm",2100000000,"2,1 tỷ",19.626167
Đường Lê Đình Quản,Phường Cát Lái (Quận 2 cũ),Thành phố Thủ Đức,1,96,3,3,4,,"Nhà ngõ, hẻm",9300000000,"9,3 tỷ",96.875
Đường Thích Quảng Đức,Phường 5,Quận Phú Nhuận,1,50.4,,3,3,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",128.96825
Đường Lê Đức Thọ,Phường 17,Quận Gò Vấp,1,116,3,3,5,,"Nhà ngõ, hẻm",11600000000,"11,6 tỷ",100
Ba Tháng Hai,Phường 11,Quận 10,1,61,4,4,,,"Nhà ngõ, hẻm",13000000000,13 tỷ,213.11476
Nguyễn Duy Dương,Phường 2,Quận 10,1,77,4,11,7,,"Nhà ngõ, hẻm",14200000000,"14,2 tỷ",184.41559
Đường Võ Văn Vân,Xã Vĩnh Lộc B,Huyện Bình Chánh,1,249,,3,,Hướng Bắc,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",26.104418
Đường Bến Súc,Xã An Phú,Huyện Củ Chi,1,303.5,,3,2,,"Nhà mặt phố, mặt tiền",2500000000,"2,5 tỷ",8.237232
Đường Nguyễn Văn Quá,Phường Đông Hưng Thuận,Quận 12,1,85,5,5,,,"Nhà ngõ, hẻm",7479000000,"7,479 tỷ",87.988235
Đường Tỉnh Lộ 2,Xã Tân Phú Trung,Huyện Củ Chi,1,40,1,11,7,Hướng Nam,"Nhà mặt phố, mặt tiền",780000000,780 triệu,19.5
Nguyễn Thượng Hiền,Phường 6,Quận Bình Thạnh,1,104,4,11,7,,"Nhà ngõ, hẻm",14000000000,14 tỷ,134.61539
Đường Hậu Giang,Phường 11,Quận 6,1,160,5,6,6,Hướng Tây,"Nhà mặt phố, mặt tiền",33600000000,"33,6 tỷ",210
Đường số 2,Phường 3,Quận Gò Vấp,1,74,4,4,,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",89.189186
Đường Chương Dương,Phường Linh Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,17,3,3,,,"Nhà ngõ, hẻm",1980000000,"1,98 tỷ",116.47059
Đường Hương Lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,132,2,4,3,,"Nhà ngõ, hẻm",6900000000,"6,9 tỷ",52.272728
Đường Hương Lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,132,2,4,3,,"Nhà ngõ, hẻm",6900000000,"6,9 tỷ",52.272728
Đường Hương Lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,1,56,3,5,3,Hướng Tây,"Nhà ngõ, hẻm",6200000000,"6,2 tỷ",110.71429
Đường Nguyễn Văn Công,Phường 3,Quận Gò Vấp,1,26,2,2,2,,"Nhà ngõ, hẻm",2100000000,"2,1 tỷ",80.76923
Lê Văn khương,Xã Đông Thạnh,Huyện Hóc Môn,1,150,1,2,2,,"Nhà mặt phố, mặt tiền",8000000000,8 tỷ,53.333332
Đường Gò Xoài,Phường Bình Hưng Hoà A,Quận Bình Tân,1,30,2,2,3,,"Nhà ngõ, hẻm",2750000000,"2,75 tỷ",91.666664
Đường số 12,Phường Bình Hưng Hòa,Quận Bình Tân,1,48,1,1,1,,"Nhà ngõ, hẻm",3680000000,"3,68 tỷ",76.666664
Đường Bạch Đằng,Phường 24,Quận Bình Thạnh,1,46,3,6,7,,"Nhà ngõ, hẻm",7600000000,"7,6 tỷ",165.21739
Đường Phan Huy Ích,Phường 12,Quận Gò Vấp,1,71.8,4,3,3,,"Nhà ngõ, hẻm",8500000000,"8,5 tỷ",118.3844
Đường số 61,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,1,337,3,6,7,Hướng Tây Nam,Nhà biệt thự,30000000000,30 tỷ,89.020775
Đường Hoàng Hoa Thám,Phường 5,Quận Phú Nhuận,1,35,,2,2,,"Nhà ngõ, hẻm",3390000000,"3,39 tỷ",96.85714
Đường Cô Giang,Phường 2,Quận Phú Nhuận,1,36,,3,3,,"Nhà ngõ, hẻm",5950000000,"5,95 tỷ",165.27777
Đường Trương Thị Ngào,Phường Trung Mỹ Tây,Quận 12,1,92,2,3,3,,"Nhà ngõ, hẻm",5350000000,"5,35 tỷ",58.152172
Đường Nơ Trang Long,Phường 13,Quận Bình Thạnh,1,60,,4,,,"Nhà ngõ, hẻm",6400000000,"6,4 tỷ",106.666664
Đường số 11,Phường Bình Hưng Hòa,Quận Bình Tân,1,81,3,3,3,,"Nhà ngõ, hẻm",7300000000,"7,3 tỷ",90.12346
Đường Nguyễn Lâm,Phường 3,Quận Bình Thạnh,1,42,,3,3,,"Nhà ngõ, hẻm",4850000000,"4,85 tỷ",115.47619
Đường Lạc Long Quân,Phường 3,Quận 11,1,40,,3,4,,"Nhà ngõ, hẻm",4800000000,"4,8 tỷ",120
HT42,Phường Hiệp Thành,Quận 12,1,54,,4,3,,"Nhà ngõ, hẻm",5550000000,"5,55 tỷ",102.77778
Đường Phan Văn Trị,Phường 11,Quận Bình Thạnh,1,48,,4,4,,"Nhà ngõ, hẻm",8800000000,"8,8 tỷ",183.33333
Cách mạng tháng 8,Phường 13,Quận 10,1,105,7,7,,,"Nhà mặt phố, mặt tiền",29900000000,"29,9 tỷ",284.7619
Đường Võ Văn Kiệt,Phường An Lạc,Quận Bình Tân,1,113,,5,7,,"Nhà ngõ, hẻm",11900000000,"11,9 tỷ",105.30974
Phạm Văn Chiêu,Phường 16,Quận Gò Vấp,1,46,,4,3,,"Nhà ngõ, hẻm",5400000000,"5,4 tỷ",117.391304
Cách Mạng Tháng Tám,Phường 10,Quận 3,1,122,,10,6,,"Nhà ngõ, hẻm",11500000000,"11,5 tỷ",94.2623
Đường Bàu Cát 1,Phường 12,Quận Tân Bình,1,75,5,5,6,,"Nhà ngõ, hẻm",7950000000,"7,95 tỷ",106
Nguyễn Cảnh Chân,Phường Cầu Kho,Quận 1,1,37,,6,4,,"Nhà mặt phố, mặt tiền",8880000000,"8,88 tỷ",240
Đường Lê Đình Cẩn,Phường Tân Tạo A,Quận Bình Tân,1,68,3,5,3,,"Nhà ngõ, hẻm",5100000000,"5,1 tỷ",75
Liên Khu 5 - 6,Phường Bình Hưng Hoà B,Quận Bình Tân,1,93,,2,2,,"Nhà ngõ, hẻm",5500000000,"5,5 tỷ",59.139786
Tô Hiến Thành,Phường 15,Quận 10,1,65,,11,7,,"Nhà ngõ, hẻm",7990000000,"7,99 tỷ",122.92308
Đường Bình Đông,Phường 15,Quận 8,1,18,11,2,,,"Nhà ngõ, hẻm",1950000000,"1,95 tỷ",108.333336
Đường Số 28,Phường Tân Phong,Quận 7,1,72,,4,3,,"Nhà mặt phố, mặt tiền",11500000000,"11,5 tỷ",159.72223
Đường Trường Sa,Phường 13,Quận 3,1,31,5,4,4,,"Nhà ngõ, hẻm",7200000000,"7,2 tỷ",232.25807
Nguyễn Văn Công,Phường 3,Quận Gò Vấp,1,67.5,4,5,5,Hướng Tây Nam,"Nhà ngõ, hẻm",9700000000,"9,7 tỷ",143.7037
Nguyễn Hữu Dật,Phường Tây Thạnh,Quận Tân Phú,1,200,2,3,4,,Nhà biệt thự,18000000000,18 tỷ,90
Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7,1,30,,2,2,Hướng Bắc,"Nhà ngõ, hẻm",3350000000,"3,35 tỷ",111.666664
Đường Lê Lợi,Phường 4,Quận Gò Vấp,1,208.3999,3,6,5,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",41600000000,"41,6 tỷ",199.61623
Đường Ðiện Biên Phủ,Phường 11,Quận 10,1,27,4,3,3,,"Nhà ngõ, hẻm",5700000000,"5,7 tỷ",211.11111
đường số 18,Phường Bình Hưng Hòa,Quận Bình Tân,1,76,4,4,,,"Nhà ngõ, hẻm",6600000000,"6,6 tỷ",86.8421
Đường Quang Trung,Phường 8,Quận Gò Vấp,1,250,,11,7,,"Nhà ngõ, hẻm",26000000000,26 tỷ,104
Đường Lê Trọng Tấn,Phường Bình Hưng Hòa,Quận Bình Tân,1,50,,2,,,"Nhà ngõ, hẻm",4050000000,"4,05 tỷ",81
Hoàng Hoa Thám,Phường 5,Quận Bình Thạnh,1,104.6998,7,11,7,Hướng Đông Bắc,"Nhà mặt phố, mặt tiền",23500000000,"23,5 tỷ",224.45125
T4,Phường Tây Thạnh,Quận Tân Phú,1,55,,4,,,"Nhà mặt phố, mặt tiền",6650000000,"6,65 tỷ",120.90909
T4,Phường Tây Thạnh,Quận Tân Phú,1,55,,4,,,"Nhà mặt phố, mặt tiền",6650000000,"6,65 tỷ",120.90909
Đường Chu Văn An,Phường 12,Quận Bình Thạnh,1,72.4,4,4,4,Hướng Tây,"Nhà ngõ, hẻm",8000000000,8 tỷ,110.49724
Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Quận Bình Tân,1,46,4,4,3,,"Nhà ngõ, hẻm",5600000000,"5,6 tỷ",121.73913
Đường Lê Trọng Tấn,Phường Bình Hưng Hòa,Quận Bình Tân,1,65,,5,,,"Nhà ngõ, hẻm",7050000000,"7,05 tỷ",108.46154
Thống Nhất,Phường 11,Quận Gò Vấp,1,54.7,5,4,4,Hướng Bắc,"Nhà ngõ, hẻm",8900000000,"8,9 tỷ",162.70567
